<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,M,20210701,000000,281.8800000,298.4800000,273.1000000,287.3500000,938803890
GAZP,M,20210801,000000,287.8800000,307.6700000,277.8700000,305.6500000,945631030
GAZP,M,20210901,000000,306.6000000,364.5300000,306.1900000,360.8000000,1525970690
GAZP,M,20211001,000000,358.4500000,397.6400000,345.4000000,350.1800000,1592270650
GAZP,M,20211101,000000,350.3000000,360.0000000,310.6200000,334.2400000,1609001830
GAZP,M,20211201,000000,338.5700000,353.1300000,289.7800000,342.3900000,1614694140
GAZP,M,20220101,000000,345.0100000,358.1000000,280.6000000,334.8000000,2326513210
GAZP,M,20220201,000000,334.9400000,339.9800000,126.5300000,228.0000000,2515583630
GAZP,M,20220301,000000,251.4100000,278.9000000,206.0000000,242.4800000,333179180
GAZP,M,20220401,000000,245.9000000,259.9900000,201.1200000,240.4000000,644243080
GAZP,M,20220501,000000,241.0100000,305.0000000,227.2200000,293.7500000,673649490
GAZP,M,20220601,000000,293.5100000,322.9900000,200.0000000,207.0000000,899752640
GAZP,M,20220701,000000,200.8400000,205.7800000,181.2000000,195.2600000,840519840
